2025-09-07T22:02:32.5916690-03:00 [SeekPickup] AgentA pos=(578.1371, 499.8524) dist=206,48894
2025-09-07T22:02:32.6070990-03:00 [Wander] AgentA pos=(584.604, 498.2327) dist=456,9234
2025-09-07T22:02:32.6076126-03:00 [SeekPickup] AgentA pos=(578.22327, 500.16412) dist=206,48085
2025-09-07T22:02:32.6245121-03:00 [Wander] AgentA pos=(584.6891, 498.53992) dist=456,91562
2025-09-07T22:02:32.6250620-03:00 [SeekPickup] AgentA pos=(578.3055, 500.46182) dist=206,47353
2025-09-07T22:02:32.6404877-03:00 [Wander] AgentA pos=(584.7702, 498.8333) dist=456,9085
2025-09-07T22:02:32.6409413-03:00 [SeekPickup] AgentA pos=(578.38385, 500.7461) dist=206,46681
2025-09-07T22:02:32.6577094-03:00 [Wander] AgentA pos=(584.84753, 499.1135) dist=456,90207
2025-09-07T22:02:32.6582002-03:00 [SeekPickup] AgentA pos=(578.45856, 501.01758) dist=206,4607
2025-09-07T22:02:32.6738685-03:00 [Wander] AgentA pos=(584.92126, 499.38104) dist=456,89618
2025-09-07T22:02:32.6742907-03:00 [SeekPickup] AgentA pos=(578.52985, 501.2768) dist=206,45514
2025-09-07T22:02:32.6938111-03:00 [Wander] AgentA pos=(584.9916, 499.6365) dist=456,8908
2025-09-07T22:02:32.6943659-03:00 [SeekPickup] AgentA pos=(578.5978, 501.52432) dist=206,45006
2025-09-07T22:02:32.7072713-03:00 [Wander] AgentA pos=(585.0586, 499.88046) dist=456,88596
2025-09-07T22:02:32.7077161-03:00 [SeekPickup] AgentA pos=(578.66254, 501.76068) dist=206,44537
2025-09-07T22:02:32.7268798-03:00 [Wander] AgentA pos=(585.1225, 500.1134) dist=456,8815
2025-09-07T22:02:32.7274433-03:00 [SeekPickup] AgentA pos=(578.72437, 501.98636) dist=206,44118
2025-09-07T22:02:32.7436616-03:00 [Wander] AgentA pos=(585.1835, 500.33582) dist=456,87744
2025-09-07T22:02:32.7441128-03:00 [SeekPickup] AgentA pos=(578.78326, 502.20184) dist=206,43729
2025-09-07T22:02:32.7574553-03:00 [Wander] AgentA pos=(585.2416, 500.5482) dist=456,87378
2025-09-07T22:02:32.7579530-03:00 [SeekPickup] AgentA pos=(578.8395, 502.40762) dist=206,43376
2025-09-07T22:02:32.7766530-03:00 [Wander] AgentA pos=(585.29706, 500.751) dist=456,8704
2025-09-07T22:02:32.7771054-03:00 [SeekPickup] AgentA pos=(578.8931, 502.60413) dist=206,43059
2025-09-07T22:02:32.7942084-03:00 [Wander] AgentA pos=(585.35, 500.94467) dist=456,8673
2025-09-07T22:02:32.7946036-03:00 [SeekPickup] AgentA pos=(578.9443, 502.79175) dist=206,42764
2025-09-07T22:02:32.8074778-03:00 [Wander] AgentA pos=(585.4004, 501.12958) dist=456,86456
2025-09-07T22:02:32.8079937-03:00 [SeekPickup] AgentA pos=(578.99304, 502.9709) dist=206,42496
2025-09-07T22:02:32.8266930-03:00 [Wander] AgentA pos=(585.4485, 501.30615) dist=456,86203
2025-09-07T22:02:32.8271606-03:00 [SeekPickup] AgentA pos=(579.03955, 503.14197) dist=206,42247
2025-09-07T22:02:32.8409939-03:00 [Wander] AgentA pos=(585.4944, 501.47476) dist=456,8597
2025-09-07T22:02:32.8414852-03:00 [SeekPickup] AgentA pos=(579.084, 503.30533) dist=206,42027
2025-09-07T22:02:32.8600182-03:00 [Wander] AgentA pos=(585.5382, 501.63574) dist=456,85757
2025-09-07T22:02:32.8604838-03:00 [SeekPickup] AgentA pos=(579.12634, 503.46127) dist=206,41826
2025-09-07T22:02:32.8767750-03:00 [Wander] AgentA pos=(585.57996, 501.78946) dist=456,85568
2025-09-07T22:02:32.8771905-03:00 [SeekPickup] AgentA pos=(579.16675, 503.6102) dist=206,4164
2025-09-07T22:02:32.8910762-03:00 [Wander] AgentA pos=(585.6198, 501.93622) dist=456,85394
2025-09-07T22:02:32.8915850-03:00 [SeekPickup] AgentA pos=(579.2053, 503.75238) dist=206,41472
2025-09-07T22:02:32.9074636-03:00 [Wander] AgentA pos=(585.6579, 502.07635) dist=456,85226
2025-09-07T22:02:32.9080371-03:00 [SeekPickup] AgentA pos=(579.2421, 503.88815) dist=206,4132
2025-09-07T22:02:32.9242066-03:00 [Wander] AgentA pos=(585.69415, 502.21017) dist=456,85086
2025-09-07T22:02:32.9246922-03:00 [SeekPickup] AgentA pos=(579.2772, 504.0178) dist=206,41177
2025-09-07T22:02:32.9409195-03:00 [Wander] AgentA pos=(585.72876, 502.33795) dist=456,84955
2025-09-07T22:02:32.9413476-03:00 [SeekPickup] AgentA pos=(579.3107, 504.14157) dist=206,4105
2025-09-07T22:02:32.9574678-03:00 [Wander] AgentA pos=(585.76184, 502.45993) dist=456,8483
2025-09-07T22:02:32.9580018-03:00 [SeekPickup] AgentA pos=(579.3427, 504.25977) dist=206,40935
2025-09-07T22:02:32.9740705-03:00 [Wander] AgentA pos=(585.79333, 502.57642) dist=456,8472
2025-09-07T22:02:32.9745246-03:00 [SeekPickup] AgentA pos=(579.37317, 504.37262) dist=206,40825
2025-09-07T22:02:32.9938586-03:00 [Wander] AgentA pos=(585.82336, 502.68765) dist=456,84622
2025-09-07T22:02:32.9945498-03:00 [SeekPickup] AgentA pos=(579.4023, 504.48038) dist=206,40729
2025-09-07T22:02:33.0075571-03:00 [Wander] AgentA pos=(585.8521, 502.79385) dist=456,8453
2025-09-07T22:02:33.0080604-03:00 [SeekPickup] AgentA pos=(579.43005, 504.58325) dist=206,4064
2025-09-07T22:02:33.0269646-03:00 [Wander] AgentA pos=(585.87946, 502.89526) dist=456,84448
